#options: 1920x1080 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=3000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=4000 vbv_bufsize=6000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:36 out:33 type:P dur:2 cpbdur:2 q:25.00 aq:14.44 tex:46585 mv:3611 misc:796 imb:227 pmb:241 smb:7692 d:s ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:25.18 aq:15.27 tex:6898 mv:4644 misc:914 imb:39 pmb:333 smb:7788 d:s ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:25.18 aq:12.10 tex:2814 mv:3731 misc:967 imb:55 pmb:236 smb:7869 d:s ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:25.18 aq:12.65 tex:2357 mv:3015 misc:908 imb:19 pmb:224 smb:7917 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:24.03 aq:5.59 tex:26289 mv:3839 misc:896 imb:191 pmb:255 smb:7714 d:s ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:25.00 aq:18.09 tex:3932 mv:3822 misc:942 imb:45 pmb:284 smb:7831 d:s ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:25.00 aq:19.12 tex:3136 mv:2334 misc:890 imb:13 pmb:214 smb:7933 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:24.99 aq:17.02 tex:2442 mv:3149 misc:945 imb:27 pmb:242 smb:7891 d:- ref:0 ;
in:43 out:41 type:P dur:2 cpbdur:2 q:23.20 aq:6.60 tex:26891 mv:3866 misc:755 imb:226 pmb:229 smb:7705 d:s ref:0 ;
in:41 out:42 type:B dur:2 cpbdur:2 q:24.03 aq:17.24 tex:3677 mv:4038 misc:877 imb:39 pmb:266 smb:7855 d:s ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:24.02 aq:14.60 tex:3054 mv:3423 misc:915 imb:35 pmb:247 smb:7878 d:- ref:0 ;
in:45 out:44 type:P dur:2 cpbdur:2 q:22.44 aq:6.00 tex:23175 mv:3513 misc:824 imb:191 pmb:213 smb:7756 d:s ref:0 ;
in:44 out:45 type:b dur:2 cpbdur:2 q:23.19 aq:16.95 tex:3018 mv:3535 misc:927 imb:51 pmb:224 smb:7885 d:s ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:21.63 aq:5.27 tex:23725 mv:3485 misc:798 imb:177 pmb:223 smb:7760 d:s ref:0 ;
in:47 out:47 type:P dur:2 cpbdur:2 q:21.72 aq:4.25 tex:23156 mv:3181 misc:759 imb:184 pmb:200 smb:7776 d:s ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:21.19 aq:3.76 tex:24287 mv:3295 misc:698 imb:204 pmb:206 smb:7750 d:s ref:0 ;
in:50 out:49 type:P dur:2 cpbdur:2 q:21.35 aq:3.30 tex:26438 mv:3290 misc:656 imb:322 pmb:164 smb:7674 d:s ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:21.40 aq:16.55 tex:3354 mv:3411 misc:795 imb:73 pmb:221 smb:7866 d:s ref:0 ;
in:52 out:51 type:P dur:2 cpbdur:2 q:21.28 aq:4.39 tex:32881 mv:3175 misc:584 imb:205 pmb:185 smb:7770 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:21.47 aq:16.64 tex:2722 mv:3071 misc:775 imb:59 pmb:188 smb:7913 d:s ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:21.10 aq:4.82 tex:38534 mv:3079 misc:579 imb:244 pmb:166 smb:7750 d:s ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:21.36 aq:16.76 tex:9054 mv:3465 misc:753 imb:52 pmb:238 smb:7870 d:s ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:21.41 aq:17.61 tex:4794 mv:2828 misc:754 imb:49 pmb:180 smb:7931 d:s ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:21.41 aq:15.82 tex:5625 mv:2653 misc:714 imb:45 pmb:193 smb:7922 d:- ref:0 ;
in:58 out:57 type:P dur:2 cpbdur:2 q:20.00 aq:7.34 tex:39973 mv:3324 misc:791 imb:419 pmb:178 smb:7563 d:s ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:21.17 aq:17.94 tex:6277 mv:2315 misc:872 imb:49 pmb:212 smb:7899 d:s ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:19.60 aq:4.18 tex:45121 mv:3019 misc:852 imb:577 pmb:162 smb:7421 d:s ref:0 ;
in:60 out:60 type:P dur:2 cpbdur:2 q:19.48 aq:5.87 tex:48619 mv:2987 misc:778 imb:565 pmb:165 smb:7430 d:s ref:0 ;
in:61 out:61 type:P dur:2 cpbdur:2 q:19.48 aq:4.65 tex:48805 mv:3087 misc:780 imb:471 pmb:168 smb:7521 d:s ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:19.41 aq:2.12 tex:56859 mv:3191 misc:814 imb:547 pmb:161 smb:7452 d:s ref:0 ;
in:65 out:63 type:P dur:2 cpbdur:2 q:19.56 aq:2.34 tex:71629 mv:3585 misc:674 imb:590 pmb:154 smb:7416 d:s ref:0 ;
in:63 out:64 type:B dur:2 cpbdur:2 q:19.80 aq:12.47 tex:23174 mv:4280 misc:1066 imb:145 pmb:281 smb:7734 d:s ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:19.98 aq:14.26 tex:14521 mv:4085 misc:946 imb:76 pmb:316 smb:7768 d:- ref:0 ;
in:69 out:66 type:P dur:2 cpbdur:2 q:19.20 aq:1.75 tex:47828 mv:4221 misc:815 imb:268 pmb:299 smb:7593 d:s ref:0 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:19.77 aq:4.15 tex:26171 mv:3966 misc:999 imb:57 pmb:338 smb:7765 d:s ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:19.95 aq:7.21 tex:9660 mv:4219 misc:961 imb:36 pmb:297 smb:7827 d:s ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:19.95 aq:15.48 tex:6159 mv:3242 misc:943 imb:18 pmb:268 smb:7874 d:- ref:0 ;
in:73 out:70 type:P dur:2 cpbdur:2 q:18.70 aq:1.83 tex:50530 mv:4162 misc:708 imb:329 pmb:249 smb:7582 d:s ref:0 ;
in:71 out:71 type:B dur:2 cpbdur:2 q:19.45 aq:5.32 tex:25907 mv:3788 misc:1001 imb:58 pmb:350 smb:7752 d:s ref:0 ;
in:70 out:72 type:b dur:2 cpbdur:2 q:19.66 aq:10.53 tex:5987 mv:3373 misc:976 imb:28 pmb:251 smb:7881 d:s ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:19.65 aq:15.68 tex:6648 mv:3142 misc:986 imb:30 pmb:273 smb:7857 d:- ref:0 ;
in:77 out:74 type:P dur:2 cpbdur:2 q:18.39 aq:3.53 tex:48450 mv:4260 misc:794 imb:332 pmb:240 smb:7588 d:s ref:0 ;
